Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
288,0.0037,0.0001,0.9688,0.9960,0.0003,0.9634,0.9814
289,0.0045,0.0001,0.9704,0.9946,0.0002,0.9592,0.9792
290,0.0037,0.0000,0.9695,0.9962,0.0000,0.9588,0.9790
291,0.0038,0.0000,0.9676,0.9954,0.0000,0.9538,0.9764
292,0.0039,0.0002,0.9693,0.9967,0.0005,0.9598,0.9795
293,0.0044,0.0001,0.9707,0.9927,0.0003,0.9619,0.9806
294,0.0037,0.0000,0.9649,0.9925,0.0001,0.9420,0.9701
295,0.0043,0.0004,0.9605,0.9931,0.0007,0.9604,0.9798
296,0.0038,0.0000,0.9657,0.9960,0.0000,0.9541,0.9765
297,0.0037,0.0000,0.9707,0.9963,0.0001,0.9607,0.9800
298,0.0044,0.0002,0.9699,0.9926,0.0005,0.9669,0.9832
299,0.0034,0.0000,0.9711,0.9994,0.0000,0.9588,0.9790
300,0.0036,0.0000,0.9697,0.9950,0.0000,0.9646,0.9820
301,0.0040,0.0002,0.9729,0.9943,0.0004,0.9538,0.9763
302,0.0036,0.0000,0.9709,0.9962,0.0000,0.9616,0.9804
303,0.0038,0.0000,0.9700,0.9954,0.0001,0.9551,0.9770
304,0.0036,0.0000,0.9650,0.9929,0.0001,0.9405,0.9693
305,0.0035,0.0000,0.9730,0.9983,0.0000,0.9588,0.9790
306,0.0036,0.0000,0.9708,0.9983,0.0000,0.9669,0.9832
307,0.0038,0.0000,0.9659,0.9956,0.0001,0.9415,0.9699
308,0.0032,0.0000,0.9709,0.9988,0.0000,0.9658,0.9826
309,0.0040,0.0000,0.9643,0.9941,0.0001,0.9645,0.9820
310,0.0039,0.0000,0.9680,0.9953,0.0001,0.9592,0.9792
311,0.0037,0.0000,0.9683,0.9958,0.0000,0.9624,0.9808
312,0.0036,0.0000,0.9702,0.9979,0.0000,0.9528,0.9759
313,0.0037,0.0000,0.9709,0.9976,0.0001,0.9584,0.9788
314,0.0032,0.0000,0.9713,0.9996,0.0000,0.9641,0.9817
315,0.0038,0.0001,0.9732,0.9953,0.0003,0.9607,0.9800
316,0.0040,0.0001,0.9706,0.9948,0.0002,0.9558,0.9774
317,0.0041,0.0000,0.9664,0.9892,0.0001,0.9456,0.9721
318,0.0040,0.0001,0.9662,0.9945,0.0001,0.9589,0.9790
319,0.0040,0.0001,0.9697,0.9945,0.0001,0.9558,0.9774
320,0.0039,0.0000,0.9685,0.9982,0.0001,0.9552,0.9771
321,0.0039,0.0000,0.9719,0.9947,0.0001,0.9462,0.9724
322,0.0039,0.0000,0.9679,0.9946,0.0001,0.9642,0.9818
323,0.0035,0.0001,0.9673,0.9981,0.0003,0.9643,0.9818
324,0.0039,0.0002,0.9670,0.9930,0.0003,0.9543,0.9766
325,0.0040,0.0001,0.9634,0.9910,0.0002,0.9578,0.9784
326,0.0035,0.0000,0.9719,0.9988,0.0000,0.9562,0.9776
327,0.0037,0.0000,0.9633,0.9953,0.0000,0.9555,0.9772
328,0.0035,0.0000,0.9693,0.9926,0.0001,0.9604,0.9798
329,0.0038,0.0000,0.9687,0.9926,0.0001,0.9619,0.9806
330,0.0045,0.0000,0.9701,0.9913,0.0001,0.9365,0.9672
331,0.0036,0.0000,0.9679,0.9997,0.0000,0.9376,0.9678
332,0.0032,0.0000,0.9706,0.9977,0.0000,0.9538,0.9763
333,0.0037,0.0000,0.9691,0.9992,0.0000,0.9566,0.9778
334,0.0038,0.0000,0.9706,0.9959,0.0000,0.9517,0.9753
335,0.0038,0.0001,0.9630,0.9975,0.0002,0.9539,0.9764
336,0.0038,0.0000,0.9663,0.9975,0.0000,0.9549,0.9769
337,0.0039,0.0000,0.9697,0.9955,0.0001,0.9604,0.9798
338,0.0045,0.0002,0.9686,0.9915,0.0004,0.9611,0.9802
339,0.0038,0.0000,0.9707,0.9950,0.0000,0.9639,0.9816
340,0.0033,0.0000,0.9699,0.9988,0.0000,0.9531,0.9760
341,0.0034,0.0000,0.9692,0.9992,0.0000,0.9565,0.9778
342,0.0037,0.0001,0.9688,0.9968,0.0001,0.9507,0.9747
343,0.0052,0.0005,0.9671,0.9883,0.0010,0.9379,0.9680
344,0.0028,0.0000,0.9557,0.9904,0.0001,0.9338,0.9658
345,0.0037,0.0000,0.9724,0.9933,0.0001,0.9567,0.9779
346,0.0036,0.0001,0.9655,0.9973,0.0003,0.9641,0.9817
347,0.0042,0.0003,0.9656,0.9952,0.0005,0.9614,0.9803
348,0.0041,0.0001,0.9707,0.9962,0.0003,0.9586,0.9789
349,0.0033,0.0000,0.9689,1.0000,0.0000,0.9408,0.9695
350,0.0036,0.0000,0.9683,0.9990,0.0001,0.9616,0.9804
351,0.0035,0.0000,0.9683,0.9966,0.0000,0.9563,0.9777
352,0.0036,0.0000,0.9735,0.9986,0.0000,0.9592,0.9792
353,0.0038,0.0000,0.9669,0.9984,0.0000,0.9559,0.9774
354,0.0040,0.0001,0.9687,0.9960,0.0001,0.9597,0.9794
355,0.0038,0.0000,0.9678,0.9987,0.0000,0.9561,0.9775
356,0.0039,0.0000,0.9684,0.9933,0.0001,0.9563,0.9777
357,0.0038,0.0000,0.9711,0.9975,0.0001,0.9654,0.9824
