Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
230,0.0228,0.0043,0.8765,0.8184,0.0086,0.9008,0.9478
231,0.0276,0.0055,0.8577,0.7791,0.0110,0.8960,0.9452
232,0.0303,0.0065,0.8670,0.7793,0.0129,0.8734,0.9324
233,0.0222,0.0051,0.8839,0.8598,0.0103,0.8949,0.9445
234,0.0250,0.0049,0.8724,0.7885,0.0097,0.8910,0.9424
235,0.0325,0.0046,0.8336,0.6874,0.0093,0.8992,0.9469
236,0.0236,0.0045,0.8815,0.8091,0.0091,0.8728,0.9321
237,0.0276,0.0060,0.8721,0.7844,0.0120,0.8866,0.9399
238,0.0302,0.0061,0.8585,0.7511,0.0123,0.8733,0.9323
239,0.0228,0.0031,0.8736,0.7713,0.0062,0.8996,0.9472
240,0.0275,0.0043,0.8493,0.7482,0.0086,0.9019,0.9484
241,0.0245,0.0046,0.8708,0.7991,0.0092,0.8973,0.9459
242,0.0209,0.0034,0.8812,0.8134,0.0068,0.8908,0.9422
243,0.0349,0.0067,0.8542,0.7104,0.0134,0.8861,0.9396
244,0.0250,0.0045,0.8649,0.7785,0.0090,0.8883,0.9408
245,0.0218,0.0043,0.8898,0.8288,0.0085,0.8929,0.9434
246,0.0144,0.0019,0.8920,0.8805,0.0037,0.9204,0.9585
247,0.0203,0.0043,0.8823,0.8564,0.0086,0.9188,0.9577
248,0.0228,0.0037,0.8496,0.7973,0.0073,0.9031,0.9491
249,0.0268,0.0054,0.8756,0.8030,0.0107,0.8958,0.9450
250,0.0264,0.0069,0.8866,0.8186,0.0139,0.8875,0.9404
251,0.0182,0.0031,0.8905,0.8626,0.0062,0.9166,0.9565
252,0.0187,0.0023,0.8783,0.8030,0.0047,0.8890,0.9412
253,0.0294,0.0051,0.8586,0.7447,0.0102,0.8879,0.9406
254,0.0290,0.0061,0.8696,0.7721,0.0122,0.9063,0.9509
255,0.0284,0.0042,0.8343,0.7274,0.0084,0.8834,0.9381
256,0.0336,0.0068,0.8696,0.7227,0.0137,0.8732,0.9323
257,0.0261,0.0056,0.8732,0.8179,0.0111,0.9074,0.9514
258,0.0301,0.0060,0.8580,0.7662,0.0121,0.8911,0.9424
259,0.0260,0.0037,0.8476,0.7345,0.0073,0.8830,0.9378
260,0.0235,0.0054,0.8908,0.8251,0.0108,0.8910,0.9424
261,0.0237,0.0049,0.8806,0.8208,0.0098,0.9001,0.9474
262,0.0149,0.0022,0.8887,0.8753,0.0045,0.9166,0.9565
263,0.0241,0.0051,0.8855,0.8186,0.0102,0.8962,0.9453
264,0.0271,0.0046,0.8655,0.7586,0.0091,0.8855,0.9393
265,0.0186,0.0027,0.8822,0.8315,0.0053,0.9018,0.9484
266,0.0260,0.0043,0.8574,0.7694,0.0086,0.9040,0.9496
267,0.0174,0.0036,0.8913,0.8518,0.0072,0.9065,0.9510
268,0.0276,0.0062,0.8713,0.7880,0.0123,0.8669,0.9287
269,0.0249,0.0040,0.8435,0.7791,0.0079,0.9067,0.9510
270,0.0251,0.0044,0.8711,0.7923,0.0088,0.8982,0.9464
271,0.0212,0.0033,0.8790,0.7940,0.0066,0.8914,0.9426
272,0.0303,0.0064,0.8631,0.7778,0.0128,0.9060,0.9507
273,0.0269,0.0060,0.8841,0.8013,0.0120,0.9091,0.9524
274,0.0216,0.0031,0.8704,0.7948,0.0063,0.8947,0.9444
275,0.0295,0.0068,0.8717,0.7857,0.0136,0.8776,0.9348
276,0.0233,0.0039,0.8702,0.8026,0.0077,0.9084,0.9520
277,0.0170,0.0033,0.8973,0.8623,0.0065,0.9147,0.9554
278,0.0306,0.0073,0.8705,0.7886,0.0147,0.8633,0.9266
279,0.0269,0.0043,0.8666,0.7292,0.0086,0.8725,0.9319
280,0.0323,0.0062,0.8668,0.7394,0.0124,0.8904,0.9420
281,0.0269,0.0039,0.8293,0.7551,0.0078,0.9041,0.9496
282,0.0177,0.0033,0.8863,0.8631,0.0066,0.9001,0.9474
283,0.0320,0.0050,0.8442,0.6998,0.0099,0.8852,0.9391
284,0.0078,0.0010,0.9094,0.9408,0.0020,0.9173,0.9569
285,0.0211,0.0041,0.8866,0.8319,0.0081,0.9060,0.9507
286,0.0161,0.0038,0.8927,0.9076,0.0076,0.9338,0.9658
287,0.0155,0.0025,0.8798,0.8706,0.0051,0.9236,0.9603
288,0.0224,0.0030,0.8533,0.7796,0.0060,0.8987,0.9467
289,0.0278,0.0051,0.8506,0.7813,0.0101,0.9020,0.9485
290,0.0211,0.0029,0.8610,0.8086,0.0059,0.8869,0.9401
291,0.0195,0.0045,0.8859,0.8486,0.0090,0.9150,0.9556
292,0.0191,0.0029,0.8696,0.8081,0.0058,0.8936,0.9438
293,0.0245,0.0034,0.8682,0.7692,0.0069,0.8865,0.9399
294,0.0122,0.0017,0.8987,0.9011,0.0034,0.9150,0.9556
295,0.0290,0.0056,0.8562,0.7524,0.0111,0.8840,0.9384
296,0.0241,0.0054,0.8648,0.8217,0.0109,0.8956,0.9449
297,0.0250,0.0041,0.8594,0.7651,0.0082,0.8962,0.9452
298,0.0237,0.0035,0.8607,0.7724,0.0070,0.9043,0.9498
299,0.0291,0.0059,0.8661,0.7488,0.0118,0.8527,0.9205
300,0.0240,0.0032,0.8533,0.7659,0.0065,0.8803,0.9363
301,0.0299,0.0065,0.8780,0.7817,0.0130,0.8835,0.9382
302,0.0246,0.0037,0.8488,0.7661,0.0073,0.8972,0.9458
303,0.0214,0.0035,0.8782,0.8162,0.0071,0.9018,0.9484
304,0.0316,0.0086,0.8807,0.8060,0.0172,0.8581,0.9236
305,0.0280,0.0053,0.8686,0.7696,0.0106,0.8578,0.9235
306,0.0311,0.0060,0.8504,0.7679,0.0120,0.8981,0.9463
307,0.0161,0.0021,0.8945,0.8591,0.0043,0.9002,0.9475
308,0.0297,0.0053,0.8590,0.7317,0.0107,0.8669,0.9287
309,0.0313,0.0059,0.8565,0.7272,0.0117,0.8742,0.9329
310,0.0264,0.0056,0.8733,0.8027,0.0111,0.9196,0.9581
311,0.0230,0.0039,0.8685,0.7893,0.0077,0.9046,0.9499
312,0.0183,0.0032,0.8848,0.8552,0.0063,0.9082,0.9519
313,0.0242,0.0044,0.8774,0.8003,0.0088,0.8962,0.9452
314,0.0241,0.0042,0.8687,0.7866,0.0084,0.8850,0.9390
315,0.0299,0.0051,0.8734,0.7195,0.0101,0.8721,0.9317
316,0.0222,0.0038,0.8751,0.7878,0.0075,0.8981,0.9463
317,0.0232,0.0042,0.8797,0.8113,0.0085,0.8887,0.9411
318,0.0352,0.0071,0.8683,0.7030,0.0141,0.8796,0.9359
319,0.0317,0.0068,0.8533,0.7348,0.0136,0.8840,0.9385
320,0.0278,0.0051,0.8639,0.7621,0.0102,0.8832,0.9380
321,0.0265,0.0050,0.8813,0.7907,0.0100,0.8632,0.9265
322,0.0308,0.0048,0.8350,0.7086,0.0096,0.8781,0.9351
323,0.0232,0.0037,0.8557,0.7849,0.0073,0.8944,0.9443
324,0.0217,0.0043,0.8821,0.8341,0.0086,0.8919,0.9429
