Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
106,0.0059,0.0001,0.6042,0.8749,0.0002,0.9213,0.9590
107,0.0064,0.0001,0.6034,0.8569,0.0002,0.9257,0.9614
108,0.0071,0.0002,0.6003,0.8588,0.0003,0.9322,0.9649
109,0.0064,0.0001,0.5832,0.8410,0.0002,0.9095,0.9526
110,0.0064,0.0001,0.5899,0.8570,0.0002,0.9330,0.9653
111,0.0058,0.0001,0.6130,0.8894,0.0002,0.9208,0.9587
112,0.0063,0.0001,0.6117,0.8723,0.0002,0.9067,0.9511
113,0.0062,0.0001,0.6039,0.8692,0.0002,0.9261,0.9616
114,0.0056,0.0001,0.6083,0.8986,0.0001,0.9284,0.9629
115,0.0069,0.0001,0.6011,0.8440,0.0002,0.9298,0.9636
116,0.0059,0.0001,0.6144,0.8808,0.0001,0.9368,0.9674
117,0.0066,0.0001,0.6059,0.8694,0.0003,0.9143,0.9553
118,0.0058,0.0001,0.6078,0.8789,0.0001,0.9099,0.9528
119,0.0064,0.0001,0.6109,0.8743,0.0002,0.9341,0.9659
120,0.0055,0.0001,0.6245,0.9101,0.0002,0.9163,0.9563
121,0.0067,0.0001,0.5900,0.8517,0.0003,0.9172,0.9568
122,0.0067,0.0001,0.5992,0.8514,0.0002,0.9028,0.9489
123,0.0063,0.0001,0.5922,0.8592,0.0002,0.9187,0.9576
124,0.0095,0.0011,0.6802,0.9177,0.0023,0.9333,0.9655
125,0.0059,0.0001,0.6081,0.8756,0.0002,0.9106,0.9532
126,0.0059,0.0001,0.6190,0.8870,0.0002,0.9247,0.9609
127,0.0055,0.0001,0.6128,0.8922,0.0002,0.9278,0.9625
128,0.0074,0.0002,0.5924,0.8235,0.0003,0.9139,0.9550
129,0.0069,0.0001,0.6019,0.8321,0.0002,0.9134,0.9547
130,0.0064,0.0001,0.5907,0.8524,0.0002,0.9238,0.9604
131,0.0065,0.0001,0.5991,0.8535,0.0002,0.9140,0.9550
132,0.0057,0.0001,0.6087,0.8790,0.0001,0.9245,0.9608
133,0.0062,0.0002,0.6167,0.8930,0.0003,0.9284,0.9629
134,0.0061,0.0001,0.5908,0.8591,0.0001,0.9236,0.9603
135,0.0055,0.0001,0.6179,0.8952,0.0001,0.9280,0.9627
136,0.0067,0.0001,0.5852,0.8317,0.0002,0.9127,0.9544
137,0.0060,0.0001,0.6029,0.8920,0.0003,0.9341,0.9659
138,0.0055,0.0001,0.6115,0.8967,0.0001,0.9281,0.9627
139,0.0073,0.0001,0.5729,0.7908,0.0002,0.8980,0.9462
140,0.0072,0.0001,0.5942,0.8257,0.0003,0.9145,0.9554
141,0.0059,0.0001,0.6216,0.8853,0.0002,0.9272,0.9622
142,0.0057,0.0001,0.6080,0.8773,0.0001,0.9211,0.9589
143,0.0056,0.0001,0.5999,0.8880,0.0001,0.9161,0.9562
144,0.0054,0.0001,0.6149,0.8972,0.0001,0.9181,0.9573
145,0.0065,0.0001,0.6121,0.8722,0.0002,0.9260,0.9616
146,0.0057,0.0001,0.6382,0.9047,0.0002,0.9202,0.9585
147,0.0069,0.0001,0.5894,0.8320,0.0002,0.9280,0.9627
148,0.0070,0.0002,0.6013,0.8589,0.0004,0.9187,0.9576
149,0.0121,0.0016,0.6813,0.9035,0.0032,0.9086,0.9521
150,0.0063,0.0001,0.6044,0.8693,0.0002,0.9114,0.9536
151,0.0057,0.0001,0.6112,0.8868,0.0001,0.9258,0.9615
152,0.0057,0.0001,0.6052,0.8887,0.0001,0.9301,0.9638
153,0.0067,0.0002,0.6089,0.8588,0.0003,0.9087,0.9522
154,0.0072,0.0003,0.5990,0.8600,0.0006,0.9183,0.9574
155,0.0071,0.0001,0.5798,0.8236,0.0002,0.9302,0.9638
156,0.0071,0.0001,0.5863,0.8308,0.0002,0.9082,0.9519
157,0.0057,0.0001,0.6186,0.8990,0.0002,0.9357,0.9668
158,0.0063,0.0001,0.6202,0.8873,0.0003,0.9144,0.9553
159,0.0060,0.0001,0.5951,0.8751,0.0001,0.9423,0.9703
160,0.0057,0.0001,0.6015,0.8808,0.0001,0.9174,0.9569
161,0.0066,0.0001,0.5955,0.8528,0.0002,0.9207,0.9587
162,0.0063,0.0001,0.5873,0.8611,0.0002,0.9217,0.9593
163,0.0061,0.0001,0.6186,0.8687,0.0002,0.9225,0.9597
164,0.0065,0.0001,0.5944,0.8555,0.0002,0.9170,0.9567
165,0.0057,0.0001,0.6206,0.9016,0.0002,0.9298,0.9636
166,0.0063,0.0001,0.6073,0.8621,0.0002,0.9169,0.9567
167,0.0059,0.0001,0.5956,0.8769,0.0001,0.9272,0.9622
168,0.0062,0.0001,0.6246,0.8907,0.0003,0.9061,0.9507
169,0.0065,0.0001,0.5946,0.8597,0.0002,0.9220,0.9594
170,0.0063,0.0001,0.6088,0.8663,0.0002,0.9331,0.9654
171,0.0065,0.0001,0.6101,0.8759,0.0003,0.9262,0.9617
172,0.0053,0.0001,0.6365,0.9099,0.0001,0.9214,0.9591
173,0.0062,0.0001,0.6109,0.8728,0.0002,0.9138,0.9549
174,0.0075,0.0003,0.5997,0.8406,0.0005,0.9314,0.9645
175,0.0062,0.0001,0.6053,0.8652,0.0002,0.9216,0.9592
176,0.0061,0.0001,0.6070,0.8783,0.0002,0.9268,0.9620
177,0.0065,0.0001,0.6019,0.8547,0.0002,0.9190,0.9578
178,0.0063,0.0003,0.6653,0.9268,0.0006,0.9240,0.9605
179,0.0061,0.0001,0.5905,0.8628,0.0002,0.9118,0.9539
180,0.0051,0.0000,0.6133,0.9148,0.0001,0.9323,0.9650
181,0.0072,0.0001,0.6026,0.8363,0.0003,0.9144,0.9553
182,0.0061,0.0001,0.5954,0.8626,0.0001,0.9175,0.9570
183,0.0060,0.0001,0.5963,0.8679,0.0001,0.9233,0.9601
184,0.0052,0.0001,0.6222,0.9113,0.0001,0.9252,0.9612
185,0.0059,0.0001,0.6058,0.8790,0.0001,0.9304,0.9639
186,0.0061,0.0001,0.6058,0.8758,0.0002,0.9217,0.9593
187,0.0062,0.0001,0.6003,0.8629,0.0002,0.9235,0.9602
188,0.0061,0.0001,0.5902,0.8534,0.0001,0.9178,0.9572
189,0.0055,0.0001,0.6090,0.8866,0.0001,0.9130,0.9545
190,0.0057,0.0001,0.6002,0.8769,0.0001,0.9280,0.9627
191,0.0070,0.0002,0.6158,0.8600,0.0004,0.9211,0.9590
192,0.0089,0.0007,0.6353,0.8858,0.0015,0.9071,0.9513
193,0.0062,0.0001,0.6136,0.8772,0.0002,0.9263,0.9617
194,0.0083,0.0003,0.6081,0.8450,0.0007,0.9177,0.9571
195,0.0071,0.0002,0.6034,0.8466,0.0003,0.8960,0.9451
196,0.0065,0.0001,0.6049,0.8582,0.0002,0.9246,0.9608
197,0.0058,0.0001,0.6039,0.8783,0.0001,0.9282,0.9628
198,0.0059,0.0001,0.5982,0.8874,0.0002,0.9295,0.9635
199,0.0065,0.0001,0.5935,0.8455,0.0001,0.9377,0.9679
200,0.0060,0.0001,0.6042,0.8665,0.0001,0.9159,0.9561
201,0.0066,0.0001,0.6098,0.8582,0.0002,0.9110,0.9534
202,0.0068,0.0001,0.5878,0.8428,0.0002,0.9245,0.9608
203,0.0065,0.0001,0.6032,0.8531,0.0002,0.9231,0.9600
204,0.0059,0.0001,0.5994,0.8826,0.0001,0.9317,0.9647
205,0.0056,0.0001,0.6122,0.8887,0.0001,0.9170,0.9567
206,0.0069,0.0002,0.6237,0.8555,0.0003,0.9002,0.9475
207,0.0057,0.0001,0.6075,0.8815,0.0001,0.9148,0.9555
208,0.0057,0.0001,0.6116,0.8812,0.0001,0.9206,0.9586
209,0.0063,0.0001,0.6225,0.8885,0.0003,0.9269,0.9621
210,0.0064,0.0001,0.6011,0.8528,0.0002,0.9159,0.9561
211,0.0056,0.0001,0.6199,0.8901,0.0002,0.9229,0.9599
212,0.0070,0.0001,0.6091,0.8374,0.0003,0.9248,0.9609
213,0.0057,0.0001,0.6292,0.8984,0.0002,0.9212,0.9590
214,0.0069,0.0001,0.5888,0.8343,0.0002,0.9133,0.9547
215,0.0065,0.0001,0.5944,0.8469,0.0002,0.9126,0.9543
216,0.0059,0.0001,0.6100,0.8734,0.0001,0.9222,0.9595
217,0.0068,0.0001,0.6023,0.8520,0.0003,0.9167,0.9566
218,0.0065,0.0002,0.6200,0.8799,0.0003,0.9104,0.9531
219,0.0065,0.0001,0.5928,0.8603,0.0002,0.9234,0.9602
220,0.0070,0.0002,0.5953,0.8518,0.0003,0.9146,0.9554
221,0.0058,0.0001,0.6024,0.8867,0.0001,0.9207,0.9587
222,0.0056,0.0001,0.6143,0.8947,0.0001,0.9335,0.9656
223,0.0063,0.0001,0.6045,0.8625,0.0002,0.9241,0.9606
224,0.0066,0.0001,0.5993,0.8588,0.0003,0.9108,0.9533
225,0.0061,0.0001,0.6170,0.8871,0.0002,0.9213,0.9590
226,0.0063,0.0002,0.6365,0.9048,0.0004,0.9031,0.9491
227,0.0064,0.0001,0.6208,0.8771,0.0003,0.9121,0.9540
228,0.0065,0.0001,0.5986,0.8574,0.0002,0.9294,0.9634
229,0.0056,0.0001,0.6118,0.8958,0.0001,0.9181,0.9573
230,0.0057,0.0001,0.6226,0.9095,0.0003,0.9252,0.9612
231,0.0067,0.0001,0.5975,0.8473,0.0002,0.9222,0.9595
232,0.0064,0.0001,0.5982,0.8484,0.0002,0.9088,0.9522
233,0.0063,0.0001,0.6271,0.8792,0.0003,0.8934,0.9437
234,0.0067,0.0002,0.6336,0.9018,0.0004,0.9292,0.9633
235,0.0066,0.0001,0.6046,0.8646,0.0003,0.9411,0.9697
236,0.0060,0.0001,0.6036,0.8715,0.0002,0.9171,0.9568
237,0.0058,0.0001,0.6018,0.8928,0.0002,0.9241,0.9605
238,0.0059,0.0001,0.6028,0.8740,0.0001,0.9220,0.9594
239,0.0059,0.0001,0.6080,0.8829,0.0001,0.9262,0.9617
240,0.0062,0.0001,0.5906,0.8564,0.0001,0.9292,0.9633
241,0.0060,0.0001,0.6105,0.8838,0.0002,0.9180,0.9573
242,0.0062,0.0001,0.6107,0.8679,0.0002,0.9147,0.9555
243,0.0073,0.0001,0.5888,0.8341,0.0003,0.9196,0.9581
244,0.0054,0.0001,0.6173,0.8981,0.0001,0.9239,0.9604
245,0.0065,0.0001,0.5987,0.8651,0.0003,0.9048,0.9500
