Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
274,0.0041,0.0000,0.9715,0.9757,0.0001,0.9532,0.9760
275,0.0041,0.0000,0.9567,0.9696,0.0001,0.9417,0.9700
276,0.0041,0.0000,0.9679,0.9767,0.0001,0.9553,0.9771
277,0.0038,0.0000,0.9716,0.9810,0.0000,0.9516,0.9752
278,0.0039,0.0000,0.9721,0.9826,0.0000,0.9538,0.9764
279,0.0040,0.0000,0.9707,0.9743,0.0000,0.9539,0.9764
280,0.0045,0.0000,0.9620,0.9621,0.0001,0.9524,0.9756
281,0.0040,0.0000,0.9660,0.9629,0.0001,0.9637,0.9815
282,0.0040,0.0000,0.9666,0.9680,0.0001,0.9419,0.9701
283,0.0039,0.0000,0.9739,0.9716,0.0001,0.9667,0.9831
284,0.0027,0.0000,0.9588,0.9890,0.0000,0.9409,0.9696
285,0.0041,0.0000,0.9742,0.9840,0.0001,0.9510,0.9749
286,0.0036,0.0000,0.9627,0.9749,0.0000,0.9424,0.9703
287,0.0045,0.0000,0.9515,0.9396,0.0001,0.9442,0.9713
288,0.0039,0.0000,0.9688,0.9807,0.0001,0.9584,0.9787
289,0.0042,0.0000,0.9721,0.9664,0.0000,0.9595,0.9793
290,0.0040,0.0000,0.9645,0.9730,0.0001,0.9563,0.9777
291,0.0037,0.0000,0.9654,0.9810,0.0000,0.9540,0.9764
292,0.0042,0.0000,0.9584,0.9630,0.0001,0.9480,0.9733
293,0.0043,0.0000,0.9680,0.9689,0.0001,0.9548,0.9769
294,0.0038,0.0000,0.9617,0.9795,0.0000,0.9341,0.9659
295,0.0050,0.0001,0.9445,0.9318,0.0001,0.9431,0.9707
296,0.0045,0.0000,0.9527,0.9514,0.0001,0.9463,0.9724
297,0.0047,0.0001,0.9564,0.9512,0.0001,0.9495,0.9741
298,0.0047,0.0001,0.9664,0.9652,0.0001,0.9585,0.9788
299,0.0044,0.0000,0.9646,0.9698,0.0001,0.9486,0.9736
300,0.0045,0.0000,0.9689,0.9670,0.0001,0.9535,0.9762
301,0.0037,0.0000,0.9632,0.9670,0.0000,0.9485,0.9736
302,0.0041,0.0000,0.9663,0.9617,0.0001,0.9550,0.9770
303,0.0042,0.0000,0.9614,0.9578,0.0001,0.9492,0.9740
304,0.0036,0.0000,0.9667,0.9757,0.0000,0.9380,0.9680
305,0.0041,0.0000,0.9666,0.9702,0.0001,0.9494,0.9740
306,0.0041,0.0000,0.9683,0.9668,0.0001,0.9620,0.9806
307,0.0030,0.0000,0.9716,0.9854,0.0000,0.9553,0.9772
308,0.0037,0.0000,0.9710,0.9821,0.0000,0.9588,0.9789
309,0.0044,0.0000,0.9614,0.9647,0.0001,0.9566,0.9778
310,0.0045,0.0000,0.9643,0.9698,0.0001,0.9521,0.9755
311,0.0047,0.0001,0.9662,0.9655,0.0001,0.9521,0.9755
312,0.0042,0.0000,0.9559,0.9600,0.0001,0.9434,0.9709
313,0.0036,0.0000,0.9775,0.9856,0.0000,0.9589,0.9790
314,0.0040,0.0000,0.9629,0.9693,0.0001,0.9540,0.9765
315,0.0036,0.0000,0.9754,0.9878,0.0000,0.9588,0.9790
316,0.0042,0.0001,0.9643,0.9675,0.0001,0.9547,0.9768
317,0.0044,0.0000,0.9680,0.9583,0.0001,0.9376,0.9678
